filename,J0_count,J1_count,J2_count,J1/J2,TCRBJ01-01,TCRBJ01-02,TCRBJ01-03,TCRBJ01-04,TCRBJ01-05,TCRBJ01-06,TCRBJ02-01,TCRBJ02-02,TCRBJ02-03,TCRBJ02-04,TCRBJ02-05,TCRBJ02-06,TCRBJ02-07,TCRBJ-other,TCRBJ01-01/j1j2,TCRBJ01-02/j1j2,TCRBJ01-03/j1j2,TCRBJ01-04/j1j2,TCRBJ01-05/j1j2,TCRBJ01-06/j1j2,TCRBJ02-01/j1j2,TCRBJ02-02/j1j2,TCRBJ02-03/j1j2,TCRBJ02-04/j1j2,TCRBJ02-05/j1j2,TCRBJ02-06/j1j2,TCRBJ02-07/j1j2,TCRBJ-other/j1j2,TCRBJ01-01/j1,TCRBJ01-02/j1,TCRBJ01-03/j1,TCRBJ01-04/j1,TCRBJ01-05/j1,TCRBJ01-06/j1,TCRBJ02-01/j2,TCRBJ02-02/j2,TCRBJ02-03/j2,TCRBJ02-04/j2,TCRBJ02-05/j2,TCRBJ02-06/j2,TCRBJ02-07/j2
ImmuneCODE-Review-002/INCOV020-AC-5_TCRB.tsv,0,20996,25287,0.8303080634318029,5586,5525,1755,2201,3654,2275,5673,3115,4387,634,3779,640,7041,18,0.1206922628178813,0.11937428429444936,0.03791889030529568,0.047555257870060284,0.0789490741741028,0.04915411706242033,0.12257200267916946,0.06730332951623706,0.09478642266058812,0.013698334161571204,0.08164984983687315,0.01382797139338418,0.15212929153252813,0.00038891169543893005,0.2660506763192989,0.2631453610211469,0.08358734997142313,0.10482949133168222,0.17403314917127072,0.10835397218517813,0.2243445248546684,0.12318582670937636,0.1734883536995294,0.025072171471507098,0.1494443785344248,0.02530944754221537,0.27844346897615374
ImmuneCODE-Review-002/860011121_TCRB.tsv,0,279087,284787,0.9799850414520326,72886,70109,22981,32485,51032,29594,63665,32818,48435,7534,43505,7925,80656,249,0.12925937354799122,0.12433451444826327,0.04075555886598779,0.0576103881363567,0.09050248814451456,0.052483356210784676,0.11290642945055102,0.05820094560132228,0.08589684929611935,0.013361140964116097,0.07715376130128362,0.014054558287844448,0.14303904773052137,0.00044158801434362994,0.2611587067831895,0.25120840454768584,0.08234349862229341,0.11639739579414304,0.18285337547073136,0.10603861878195688,0.22355304139585022,0.11523700168898159,0.17007447671417586,0.02645485924568186,0.15276329326830226,0.027827815174147695,0.2832151748499756
ImmuneCODE-Review-002/BS-HS-30_TCRB.tsv,0,13762,20712,0.6644457319428351,3726,3892,1255,1265,2281,1343,4615,2266,3604,554,3095,584,5968,26,0.108081452688983,0.11289667575564194,0.036404246678656375,0.036694320357370774,0.06616580611475315,0.03895689505134304,0.13386900272669258,0.06573069559668156,0.10454255380866741,0.016070081800777396,0.08977780356210477,0.01694030283692058,0.17311597145675,0.000754191564657423,0.27074553117279465,0.28280773143438453,0.09119314053189943,0.09191977910187472,0.16574625781136462,0.09758755994768202,0.22281769022788722,0.10940517574353031,0.17400540749324064,0.02674777906527617,0.14943028196214755,0.028196214754731556,0.2881421398223252
ImmuneCODE-Review-002/KHBR20-00103_TCRB.tsv,0,46903,43193,1.0858935475655778,11452,12296,3943,5058,8582,5572,8830,5536,7445,1146,6477,1251,12477,31,0.1271088616586752,0.13647664713194815,0.043764429053454096,0.056140117208311135,0.09525395134079205,0.06184514295862192,0.09800657076895755,0.061445569170662406,0.08263407920440419,0.01271976558337773,0.07188998401704848,0.013885189131592968,0.13848561534363346,0.000344077428520689,0.24416348634415708,0.26215807091230836,0.08406711724196747,0.10783958382193037,0.18297337057331087,0.11879837110632582,0.20443127358599772,0.1281689162595791,0.1723658926214896,0.026532076956914313,0.14995485379575393,0.02896302641631746,0.2888662514759336
ImmuneCODE-Review-002/BS-GIGI_94-replacement_TCRB.tsv,0,74129,122507,0.6051001167280237,19252,18091,6573,8117,14500,7596,32945,13637,19647,2888,16881,3297,33061,151,0.0979067922455705,0.09200248174291585,0.033427246282471165,0.04127931813096279,0.07374031204865844,0.038629752435973067,0.16754307451331393,0.06935149209707277,0.09991558005655118,0.01468703594458797,0.08584897984092435,0.016767021298236335,0.16813299700970322,0.000767916353058443,0.25970942546102066,0.24404753875001686,0.08866975137935221,0.10949830700535552,0.19560495892295862,0.10247001848129612,0.26892340845829216,0.11131608806027411,0.1603745092117185,0.02357416310904683,0.13779620756364944,0.0269127478429804,0.26987029312610705
ImmuneCODE-Review-002/KHBR20-00201_TCRB.tsv,0,93832,92887,1.010173651856557,28280,24106,7777,9235,16469,7965,29620,11902,15804,2247,12633,2293,18299,89,0.15145753779743892,0.12910309074063164,0.041650822894295704,0.04945934800422024,0.08820205763741237,0.042657683470884056,0.15863409722631333,0.06374284352422624,0.08464055612979933,0.012034126146776708,0.06765781736191817,0.012280485649558963,0.09800288133505428,0.00047665208147001643,0.30138971779350326,0.2569059595873476,0.0828821723932134,0.0984205814647455,0.17551581550004264,0.08488575326114758,0.31888208253038636,0.12813418454681494,0.1701422158106086,0.02419068330336861,0.13600396180305102,0.02468590868474598,0.19700280986575086
ImmuneCODE-Review-002/KH20-09682_TCRB.tsv,0,60424,132749,0.4551748035766748,15024,14005,5441,6704,12556,6694,34105,17452,19658,3875,16680,3200,37673,106,0.0777748443105403,0.07249977998995719,0.028166462186744526,0.034704642988409355,0.06499873170681203,0.03465287591951256,0.1765515884725091,0.09034388863868138,0.1017637040373137,0.020059739197506896,0.08634747091984905,0.01656546204697344,0.1950220786548845,0.0005487309303059951,0.24864292334171853,0.23177876340526943,0.0900470011915795,0.11094929167218325,0.20779822587051502,0.11078379451873428,0.25691342307663334,0.13146615040414616,0.14808397803373283,0.029190427046531423,0.12565066403513397,0.024105642980361434,0.28379121499973636
ImmuneCODE-Review-002/1023_TCRB.tsv,0,14399,15701,0.9170753455193936,3854,3857,1213,1491,2486,1498,3420,1911,2830,400,2401,431,4295,13,0.12803986710963455,0.12813953488372093,0.040299003322259136,0.049534883720930234,0.08259136212624585,0.04976744186046512,0.11362126245847176,0.06348837209302326,0.09401993355481728,0.013289036544850499,0.07976744186046511,0.014318936877076412,0.14269102990033222,0.0004318936877076412,0.26765747621362596,0.26786582401555664,0.08424196124730884,0.10354885755955275,0.17265087853323147,0.10403500243072436,0.21782052098592447,0.12171199286669639,0.18024329660531177,0.02547608432583912,0.15292019616584931,0.02745048086109165,0.2735494554486975
ImmuneCODE-Review-002/1222568BW_TCRB.tsv,0,151084,251960,0.5996348626766154,41902,36841,12759,16390,29091,14101,57251,29990,39853,6738,33864,6522,77539,203,0.10396383521402129,0.09140689354015939,0.03165659332479828,0.04066553527654549,0.07217822371750975,0.03498625460247516,0.14204652593761474,0.0744087494169371,0.09888002302478141,0.016717777711614614,0.08402060320957513,0.016181856075267217,0.1923834618552813,0.0005036670934190808,0.2773424055492309,0.24384448386328136,0.08444971009504647,0.10848269836647163,0.19254851605729265,0.09333218606867703,0.22722257501190665,0.11902682965550088,0.15817193205270677,0.026742340053976823,0.1344022860771551,0.025885061120812826,0.30774329258612476
ImmuneCODE-Review-002/INCOV034-BL-3_TCRB.tsv,0,44016,68710,0.6406054431669335,11739,11237,3644,4646,7982,4768,14876,8008,11768,1910,10207,2013,19876,52,0.10413746606816529,0.09968418998279013,0.03232617142451608,0.04121498145946809,0.07080886397104483,0.04229725174316484,0.13196600606781045,0.07103951173642283,0.10439472703724074,0.016943739687383566,0.09054699004666182,0.017857459680996397,0.17632134556357895,0.0004612955307559924,0.2666984732824427,0.2552935296255907,0.08278807706288623,0.10555252635405307,0.18134314794620138,0.10832424572882589,0.21650414786785038,0.11654780963469655,0.1712705574152234,0.027797991558725078,0.1485518847329355,0.029297045553776744,0.28927375927812543
